publishedAt,authorDisplayName,textDisplay,likeCount
2025-10-10T12:20:50Z,@manganturutok,Gua lulus SMP doank...<br>Lebih baik kerja apa mancing hu suhu😂,0
2025-10-10T10:25:06Z,@srimartini5675,Anakku alhamdulilah <br>Dah kerja Di jepang,0
2025-10-10T09:19:16Z,@EuisKurniawati-zh6fd,KENAPA CUMA YG LULUS SATU THN KEMARIN...PADAHAL LULUSAN TH YG LAMA MASIH BNYK YG NGANGGUR....,0
2025-10-10T08:23:58Z,@parah5678,Hadeh sampe sekarang masih di deskrimasikan lapangan kerja masih ajah di mulai d3 sama sarjana. Pemerintah udah tidak melihat kejalan padahal banyak banget orang yang lulusan SMA/SMK padahal mereka juga punya skill,0
2025-10-10T08:19:12Z,@channelap671,"Di batasi,, gimana nasibnya yg lulus lebih dari 1tahun",0
2025-10-10T07:48:03Z,@jamkosong88,19 juta lowongan kerjanya Mana???????,0
2025-10-10T07:37:22Z,@Sans-t3o,kalo soal cari anggaran ada aja terobosannya.,0
2025-10-10T06:10:13Z,@cloudnim-xo7ck,"Gratis, pas diklik bayar. Dah gitu ulasannya terlalu kaku alias BUZZER.",0
2025-10-10T03:13:03Z,@Suryasurmana012,Nyocot,0
2025-10-10T03:05:33Z,@rever1189,Aroma bau busuk kecium juga gak bisa tepatin janji pemilu 19jt lapangan kerja cari cara instanst jangka pendek tanpa pikirkan jangka panjang..status program magang selesai magang nganggur lagi 😂😂😂,0
2025-10-10T02:57:02Z,@RomiBae1982,Persyaratan nya berat,0
2025-10-10T00:33:34Z,@jang_eby,Ga bisa diakses appnya. Skalabilitas app bapuk ... 😂😂😂,0
2025-10-09T23:34:54Z,@Thanos-l8w,Magang ada karena lowongan kerja yg tidak sebanding dengan jumlah pencari kerja,0
2025-10-09T12:50:45Z,@fazry-o8u,Pembodohan 😂,0
2025-10-09T11:10:25Z,@pbbpandu4084,Susah ya kalo punya pejabat SDM rendah 😊,1
2025-10-10T08:26:27Z,@roymustikapermana6323,Gen boomer bgst penghambat kemajuam,0
2025-10-09T00:52:43Z,@Dibu4nk.S4y4nk,DPR ga ada yg protes kah sistem ky ini .......🙄. Bungul banar nih.....😅😅😅,0
2025-10-09T00:13:44Z,@Lia_dewi,"Kenapa harus maksimal 1 tahun lulus, padahal banyak yang lebih lama",1
2025-10-08T14:55:58Z,@VURARIZ,Aneh sih... Minimal 1 tahun... Hmmm katanya gk ada batasan-batasan.... Dalam pelamaran pekerjaan... Ini magang aja dah batasan😊,0
2025-10-08T14:15:19Z,@Daadiiduisdak,ALHAMDULILLAAHIROBBIL&#39;AALAMIIN MASYA ALLOH TABAROKALLOH ALLOOHUAKBAR ALLOOHUMMAA SHOLLI&#39;ALAA SAYYIDINAA MUHAMMADD WA&#39;ALAA AALII SAYYIDINA MUHAMMADD ALLOOHUMMA SHOLLI WASALLIIM WABAARIK&#39;ALAIH WA&#39;ALAA&#39;AALAIH Syukuryaa matursuwun 💪🇯🇴🙏,0
2025-10-08T13:49:30Z,@hendisuhendi7301,"Kenapa harus yg diploma dan sarjana, lah lulusan sma/smk kan banyak juga yg nganggur.",0
2025-10-08T11:55:08Z,@Dee-CC,BASI 👎🏻,0
2025-10-08T11:51:59Z,@SebatasAsumsi,Program omon2 buang2 anggaran. 🤣🤣,0
2025-10-08T10:22:13Z,@novitahandayani867,Lowkee utk yg kena phk dong,0
2025-10-08T08:59:39Z,@dimmangsudirman5471,Gimna untuk SMA SMK yang udah pengalaman dan non pengalaman umur 30+ pdhal mereka layak juga ko magang untuk nambah portofolio kerja jga,0
2025-10-08T07:35:03Z,@RadenmasPurwanto-k8t,Wapres mu.... <br>Kon magang sekolah sma,0
2025-10-08T05:12:06Z,@pamangober4072,Aku lulusan SMA ga kedapatan ini kalo syaratnya Sarjana d3. 😢 Cobaan,0
2025-10-08T03:22:27Z,@gunawan8925,Hoax,0
2025-10-08T02:52:19Z,@muhammadzayn118,Harus diploma minimalnya 🤣,0
